INFO:root:✔ XGBoost model loaded
Waiting for xApp connection on port 4400
xApp connected: 10.244.0.190:47694
INFO:root:✔ XChain listening on socket 4400
 * Serving Flask app 'xchain_model'
 * Debug mode: off
[12:09:46] WARNING: /workspace/src/learner.cc:790: 
Parameters: { "approx_kernel", "predictor" } are not used.

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=6.220ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=6.222ms

INFO:werkzeug:[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5001
 * Running on http://10.244.0.191:5001
INFO:werkzeug:[33mPress CTRL+C to quit[0m
INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.881ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.884ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.878ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.881ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.011ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.014ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.012ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.016ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.745ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.747ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.972ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.976ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.034ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.037ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.838ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.841ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.027ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.029ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.816ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.819ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.738ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.740ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.304ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.308ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.465ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.468ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.149ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.152ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.182ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.184ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.953ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.956ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.148ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.151ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.643ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.646ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.410ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.413ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.020ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.023ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.285ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.289ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.000ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.003ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.402ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.406ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.527ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.529ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.145ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.147ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.324ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.326ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.130ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.131ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.211ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.213ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.005ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.007ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.501ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.503ms

