[2026-03-24 12:32:18,579] [INFO] Using device: cpu
/usr/local/lib/python3.11/site-packages/sklearn/base.py:463: InconsistentVersionWarning: Trying to unpickle estimator LogisticRegression from version 1.6.1 when using version 1.8.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn(
/usr/local/lib/python3.11/site-packages/sklearn/base.py:463: InconsistentVersionWarning: Trying to unpickle estimator StandardScaler from version 1.6.1 when using version 1.8.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn(
[2026-03-24 12:32:19,010] [INFO] LR scaler loaded from /models/lr_scaler.pkl
[2026-03-24 12:32:19,010] [INFO] LogisticRegression loaded from /models/labeling_xapp.pkl
[2026-03-24 12:32:19,013] [INFO] ResourcexApp loaded from /models/resource_xapp.pth
[2026-03-24 12:32:19,013] [INFO] xApp KCL listening on port 4500
[2026-03-24 12:32:29,510] [INFO] Client connected: ('10.244.0.25', 33246) | NUM_UES=5 | T=8.0s
[2026-03-24 12:34:28,757] [INFO] [2026-03-24T12:34:28.292156] UE 5/5 | ran_ue_id=5 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 12:34:36,785] [INFO] [2026-03-24T12:34:36.291665] UE 1/5 | ran_ue_id=1 | PRB=253.25 ThpDl=5.24 ThpUl=8061.77 RlcDelay=570.12 VolDL=4 VolUL=8000 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 12:34:36,785] [INFO] [2026-03-24T12:34:36.291665] UE 2/5 | ran_ue_id=2 | PRB=4.38 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 12:34:36,785] [INFO] [2026-03-24T12:34:36.291665] UE 3/5 | ran_ue_id=3 | PRB=10418.00 ThpDl=8080.36 ThpUl=5.49 RlcDelay=280.82 VolDL=8032 VolUL=4 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 12:34:36,785] [INFO] [2026-03-24T12:34:36.291665] UE 4/5 | ran_ue_id=4 | PRB=4.38 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 12:34:36,785] [INFO] [2026-03-24T12:34:36.291665] UE 5/5 | ran_ue_id=5 | PRB=4.38 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 12:34:44,821] [INFO] [2026-03-24T12:34:44.291157] UE 1/5 | ran_ue_id=1 | PRB=254.62 ThpDl=5.25 ThpUl=8066.31 RlcDelay=549.38 VolDL=4 VolUL=7999 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 12:34:44,824] [INFO] [2026-03-24T12:34:44.291157] UE 2/5 | ran_ue_id=2 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 12:34:44,826] [INFO] [2026-03-24T12:34:44.291157] UE 3/5 | ran_ue_id=3 | PRB=10513.62 ThpDl=8083.50 ThpUl=5.53 RlcDelay=307.43 VolDL=8031 VolUL=4 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 12:34:44,827] [INFO] [2026-03-24T12:34:44.291157] UE 4/5 | ran_ue_id=4 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
